participant_id,video_id,rgb_n_frames,flow_n_frames
P01,P01_01,99135,49567
P01,P01_02,30134,15066
P01,P01_03,7137,3568
P01,P01_04,6320,3159
P01,P01_05,76325,38162
P01,P01_06,29540,14769
P01,P01_07,9690,4844
P01,P01_08,5944,2971
P01,P01_09,214270,107134
P01,P01_10,8348,4173
P01,P01_11,33698,16848
P01,P01_12,10434,5216
P01,P01_13,5632,2815
P01,P01_14,81161,40580
P01,P01_15,55503,27751
P01,P01_16,10483,5241
P01,P01_17,69193,34596
P01,P01_18,221566,110782
P01,P01_19,28685,14342
P01,P01_101,91577,91577
P01,P01_102,13750,13750
P01,P01_103,8905,8905
P01,P01_104,12286,12286
P01,P01_105,106022,106022
P01,P01_106,36173,36173
P01,P01_107,5976,5976
P01,P01_108,6999,6999
P01,P01_109,222487,222487
P02,P02_01,13985,6992
P02,P02_02,12426,6212
P02,P02_03,75137,37568
P02,P02_04,25349,12674
P02,P02_05,1119,559
P02,P02_06,62139,31069
P02,P02_07,6521,3260
P02,P02_08,4024,2011
P02,P02_09,131997,65998
P02,P02_10,2931,1465
P02,P02_11,3251,1625
P02,P02_12,78926,39462
P02,P02_13,1777,888
P02,P02_14,1938,968
P02,P02_15,5648,2823
P02,P02_101,12190,12190
P02,P02_102,11358,11358
P02,P02_103,6112,6112
P02,P02_104,28363,28363
P02,P02_105,20523,20523
P02,P02_106,3221,3221
P02,P02_107,6077,6077
P02,P02_108,64586,64586
P02,P02_109,45633,45633
P02,P02_110,8966,8966
P02,P02_111,2633,2633
P02,P02_112,59135,59135
P02,P02_113,22439,22439
P02,P02_114,1789,1789
P02,P02_115,5329,5329
P02,P02_116,3423,3423
P02,P02_117,17423,17423
P02,P02_118,38827,38827
P02,P02_119,4603,4603
P02,P02_120,36925,36925
P02,P02_121,19660,19660
P02,P02_122,38369,38369
P02,P02_123,69921,69921
P02,P02_124,11596,11596
P02,P02_125,32826,32826
P02,P02_126,7440,7440
P02,P02_127,1321,1321
P02,P02_128,6766,6766
P02,P02_129,55671,55671
P02,P02_130,54177,54177
P02,P02_131,33749,33749
P02,P02_132,11358,11358
P02,P02_133,4026,4026
P02,P02_134,1350,1350
P02,P02_135,13063,13063
P02,P02_136,19597,19597
P02,P02_137,58325,58325
P03,P03_01,43011,21505
P03,P03_02,25603,12801
P03,P03_03,4265,2132
P03,P03_04,100251,50125
